path.a	path.b	path.a.length	path.b.length	intersection	jaccard	euclidean
HG02071.verkko_filt_mat.fa:haplotype1-0000041_103610513_104018399_0	HG02486#1#JAGYVM010000007.1_28868414_29370339_1	407886	501925	405666	0.804661	313.814
HG02300.verkko_filt_mat.fa:haplotype1-0000028_144052837_144460586_1	HG02630#1#JAHAOQ010000102.1_16672145_17079089_0	407749	406944	404401	0.985642	76.7529
HG01358#1#JAGYZB010000020.1_27445742_27855492_1	HG002.hifiasm_filt_mat.fa:h2tg000010l_40221609_40629467_1	409750	407858	398588	0.951239	142.941
HG01952#2#JAHAMD010000045.1_4381722_4883708_1	HG002#1#JAHKSE010000012.1_16776806_17183707_1	501986	406901	404830	0.803143	315.003
HG01109#2#JAHEOZ010000047.1_16671232_17151375_0	HG01258#1#JAGYYV010000004.1_56955948_57456952_1	480143	501004	469305	0.916894	206.245
HG03453#2#JAGYVV010000088.1_22597550_23005370_1	HG02300.verkko_filt_mat.fa:haplotype1-0000028_144052837_144460586_1	407820	407749	407401	0.998121	27.6948
HG002.verkko_filt_pat.fa:haplotype2-0000649_147937390_148315979_1	HG00621#1#JAHBCD010000034.1_2122997_2624098_1	378589	501101	371526	0.731114	369.646
HG02071.hifiasm_filt_pat.fa:h1tg000008l_103588591_104090646_0	HG02257#2#JAGYVH010000034.1_98190388_98857961_0	502055	667573	498824	0.743621	414.705
HG01099.verkko_filt_mat.fa:haplotype1-0000034_142513097_142920876_1	HG02647.verkko_filt_mat.fa:haplotype1-0000002_103892584_104321036_0	407779	428452	376624	0.819448	288.068
HG02148#2#JAHAMF010000050.1_19456870_19863761_1	HG02630#2#JAHAOP010000089.1_16669255_17076135_0	406891	406880	406146	0.996372	38.4578
HG02630#1#JAHAOQ010000102.1_16672145_17079089_0	HG02818#1#JAHEOS010000101.1_89626_496613_0	406944	406987	406887	0.999614	12.53
chr1_chm13_103304997_103901127_0	HG02572#2#JAHAOV010000024.1_4460979_4890404_1	596130	429425	386653	0.605184	502.244
HG02145#1#JAHKSG010000134.1_2102465_2647653_1	HG04228.hifiasm_filt_pat.fa:h1tg000014l_141188035_141500777_1	545188	312742	312484	0.572896	482.661
HG02647.verkko_filt_mat.fa:haplotype1-0000002_103892584_104321036_0	HG002.verkko_filt_mat.fa:haplotype1-0000005_138228497_138636354_1	428452	407857	376612	0.819261	288.245
HG00673#1#JAHBBZ010000075.1_16660170_16973851_0	HG02145#2#JAHKSF010000206.1_1005292_1413195_1	313681	407903	311611	0.760077	313.627
HG02080#2#JAHEOV010000017.1_16662177_17164189_0	HG02148#1#JAHAMG010000059.1_19799474_20206456_1	502012	406982	406777	0.809963	308.934
HG03579#1#JAGYVU010000029.1_91404_499180_0	HG01099.hifiasm_filt_mat.fa:h2tg000003l_54930251_55338030_1	407776	407779	407408	0.998189	27.1846
HG04228.hifiasm_filt_pat.fa:h1tg000014l_141188035_141500777_1	HG02622#2#JAHAON010000012.1_51551779_52031001_0	312742	479222	312421	0.651497	408.806
HG02055#2#JAHEPJ010000017.1_24870122_25298560_1	HG02559#1#JAGYVK010000012.1_51505852_51913611_0	428438	407759	376586	0.819358	288.141
HG01175#1#JAHAMA010000003.1_33204707_33808232_1	NA18906#2#JAHEON010000009.1_93748295_94249275_0	603525	500980	487950	0.791414	358.615
HG02886#1#JAHAOU010000178.1_62411_469262_0	HG01099.verkko_filt_pat.fa:haplotype2-0000583_143544270_144046196_1	406851	501926	404882	0.803505	314.663
HG03927.hifiasm_filt_mat.fa:h2tg000005l_102886351_103294201_0	HG02148#2#JAHAMF010000050.1_19456870_19863761_1	407850	406891	404962	0.988245	69.4046
HG02809.hifiasm_filt_pat.fa:h1tg000007l_103415673_103822536_0	HG01358#2#JAGYZA010000086.1_556_316498_0	406863	315942	259172	0.559002	452.174
HG02559#2#JAGYVJ010000037.1_52167780_52574597_1	HG03486#2#JAHEOP010000248.1_2105565_2584784_1	406817	479219	406518	0.847764	270.185
HG00621#1#JAHBCD010000034.1_2122997_2624098_1	HG02809.hifiasm_filt_pat.fa:h1tg000007l_103415673_103822536_0	501101	406863	404743	0.804305	313.812
HG01928#1#JAGYVQ010000195.1_211_358290_0	HG00621#2#JAHBCC010000031.1_16669999_17077865_0	358079	407866	193728	0.338557	615.215
HG01258#2#JAGYYU010000072.1_51562603_51970395_0	HG03516#1#JAGYYT010000012.1_24170958_24578778_1	407792	407820	405763	0.99003	63.9218
NA18906#1#JAHEOO010000054.1_2103477_2510435_1	HG03710.verkko_filt_pat.fa:haplotype2-0000488_101614437_102218208_0	406958	603771	399999	0.654952	459.054
HG002.hifiasm_filt_pat.fa:h1tg000009l_103664409_104071309_0	HG00673#2#JAHBBY010000109.1_16675383_17177395_0	406900	502012	404830	0.803103	315.043
HG02723#2#JAHEOT010000034.1_19776337_20321518_1	HG00438#2#JAHBCA010000012.1_51513023_51826723_0	545181	313700	311599	0.569357	485.472
HG01106#2#JAHAMB010000008.1_19904771_20405763_1	HG03927.verkko_filt_mat.fa:haplotype1-0000009_134765170_135173010_1	500992	407840	406542	0.809377	309.432
HG01099.hifiasm_filt_mat.fa:h2tg000003l_54930251_55338030_1	HG01361#2#JAGYYW010000015.1_51517456_51831163_0	407779	313707	313583	0.768769	307.116
HG02109#2#JAHEPF010000078.1_16678387_16991144_0	HG02300.hifiasm_filt_mat.fa:h2tg000006l_23303533_23711281_1	312757	407748	310768	0.758457	314.593
HG02080#1#JAHEOW010000048.1_16689583_17097287_0	HG03492#2#JAHEPH010000288.1_2098270_2432686_1	407704	334416	332388	0.811233	278.108
HG01243#1#JAHEOY010000013.1_90081_424495_0	HG02080#2#JAHEOV010000017.1_16662177_17164189_0	334414	502012	332414	0.659536	414.244
chr1_hg38_103456064_103863972_0	HG04228.verkko_filt_pat.fa:haplotype2-0000600_103806749_104119491_0	407908	312742	310824	0.758429	314.646
HG03927.verkko_filt_mat.fa:haplotype1-0000009_134765170_135173010_1	HG02647.verkko_filt_pat.fa:haplotype2-0000857_103738150_104051769_0	407840	313619	311644	0.76045	313.323
HG04228.hifiasm_filt_mat.fa:h2tg000030l_122_365721_0	HG01175#2#JAHALZ010000031.1_43072077_43478977_1	365599	406900	271308	0.541327	479.461
HG01123#2#JAGYYY010000006.1_51579630_51892388_0	HG03486#1#JAHEOQ010000123.1_16677696_17085575_0	312758	407879	310949	0.75899	314.228
HG01109#1#JAHEPA010000099.1_2104245_2511104_1	HG00735#2#JAHBCG010000068.1_4729205_5042887_0	406859	313682	310746	0.758296	314.721
HG03516#2#JAGYYS010000004.1_24452130_24859892_1	HG01106#2#JAHAMB010000008.1_19904771_20405763_1	407762	500992	406469	0.80924	309.542
HG002#2#JAHKSD010000021.1_102757493_103165350_0	HG00733#1#JAHEPQ010000019.1_46106835_46420495_0	407857	313660	313619	0.768866	307.049
HG02004.hifiasm_filt_pat.fa:h1tg000006l_139372820_140063114_1	HG03710.verkko_filt_mat.fa:haplotype1-0000029_102593394_102907063_0	690294	313669	313399	0.45383	614.138
HG01978#1#JAGYVS010000002.1_51519970_52021951_0	HG02080#1#JAHEOW010000048.1_16689583_17097287_0	501981	407704	407417	0.811155	307.979
HG005#1#JAHEPO010000002.1_51519219_51926067_0	HG03927.hifiasm_filt_mat.fa:h2tg000005l_102886351_103294201_0	406848	407850	404971	0.988392	68.9638
HG01952#1#JAHAME010000077.1_16663592_16976329_0	HG01978#2#JAGYVR010000007.1_51532241_51939176_0	312737	406935	310754	0.759942	313.311
HG03710.verkko_filt_mat.fa:haplotype1-0000029_102593394_102907063_0	HG005#1#JAHEPO010000002.1_51519219_51926067_0	313669	406848	310767	0.758431	314.616
HG01358#2#JAGYZA010000086.1_556_316498_0	NA19240#1#JAHEOM010000047.1_30103390_30511199_1	315942	407809	260881	0.563616	449.432
HG01258#1#JAGYYV010000004.1_56955948_57456952_1	HG02622#1#JAHAOO010000002.1_16673678_17080663_0	501004	406985	406297	0.809853	308.861
HG01071#1#JAHBCF010000053.1_26607100_27108065_1	HG04228.hifiasm_filt_mat.fa:h2tg000030l_122_365721_0	500965	365599	363421	0.722302	373.794
HG03710.hifiasm_filt_pat.fa:h1tg000035l_103311655_103704662_0	HG00741#1#JAHALY010000007.1_18781197_19307680_1	393007	526483	375806	0.691221	409.729
HG02293.hifiasm_filt_pat.fa:h1tg000025l_28494233_28996189_1	HG02145#1#JAHKSG010000134.1_2102465_2647653_1	501956	545188	443433	0.734512	400.347
HG04228.verkko_filt_pat.fa:haplotype2-0000600_103806749_104119491_0	HG02809.verkko_filt_pat.fa:haplotype2-0001251_103421111_103827972_0	312742	406861	312462	0.767454	307.7
HG03453#1#JAGYVW010000157.1_2105722_2585000_1	HG00438#1#JAHBCB010000015.1_33474867_33954171_0	479278	479304	476841	0.989829	70
HG00735#2#JAHBCG010000068.1_4729205_5042887_0	HG00673#1#JAHBBZ010000075.1_16660170_16973851_0	313682	313681	313357	0.997933	25.4755
HG02886#2#JAHAOT010000031.1_87393_401061_0	HG02293.hifiasm_filt_pat.fa:h1tg000025l_28494233_28996189_1	313668	501956	313365	0.623911	434.619
HG02293.verkko_filt_pat.fa:haplotype2-0000836_148310532_148812524_1	NA18906#1#JAHEOO010000054.1_2103477_2510435_1	501992	406958	404503	0.801874	316.139
HG02809.verkko_filt_mat.fa:haplotype1-0000023_94161320_94589755_0	HG02004.hifiasm_filt_mat.fa:h2tg000002l_25152988_25559927_1	428435	406939	376534	0.820622	286.89
HG01123#1#JAGYYZ010000015.1_51528240_51935090_0	HG01106#1#JAHAMC010000004.1_31121050_31623013_0	406850	501963	404792	0.803125	315.006
HG02572#1#JAHAOW010000072.1_9428131_9835964_0	HG01358#1#JAGYZB010000020.1_27445742_27855492_1	407833	409750	398522	0.950988	143.314
NA19240#2#JAHEOL010000010.1_37445323_37853017_0	HG02723#2#JAHEOT010000034.1_19776337_20321518_1	407694	545181	405571	0.741034	376.474
HG00673#2#JAHBBY010000109.1_16675383_17177395_0	HG02004.verkko_filt_mat.fa:haplotype1-0000022_97828542_98235483_0	502012	406941	406860	0.810328	308.598
HG03927.verkko_filt_pat.fa:haplotype2-0000800_29002142_29504057_1	HG03710.hifiasm_filt_mat.fa:h2tg000025l_86820256_87133924_0	501914	313668	313443	0.624216	434.392
HG01361#2#JAGYYW010000015.1_51517456_51831163_0	HG01928#1#JAGYVQ010000053.1_16676493_17083407_0	313707	406914	312498	0.765696	309.233
HG02572#2#JAHAOV010000024.1_4460979_4890404_1	HG02257#1#JAGYVI010000005.1_101835875_102242843_0	429425	406968	377963	0.824473	283.667
HG01099.hifiasm_filt_pat.fa:h1tg000003l_56136922_56638856_1	HG01952#1#JAHAME010000077.1_16663592_16976329_0	501934	312737	310776	0.616748	439.453
HG02004.verkko_filt_mat.fa:haplotype1-0000022_97828542_98235483_0	HG02717#2#JAHAOR010000006.1_19663827_20070693_1	406941	406866	404693	0.989194	66.4906
HG02818#2#JAHEOR010000010.1_31775319_32183091_1	HG01175#1#JAHAMA010000003.1_33204707_33808232_1	407772	603525	398426	0.650098	463.082
HG01978#2#JAGYVR010000007.1_51532241_51939176_0	HG005#2#JAHEPN010000023.1_51542210_51950070_0	406935	407860	406816	0.997149	34.1028
HG02257#1#JAGYVI010000005.1_101835875_102242843_0	HG02723#1#JAHEOU010000204.1_2102082_2414876_1	406968	312794	312486	0.767259	307.88
HG03486#2#JAHEOP010000248.1_2105565_2584784_1	HG02293.hifiasm_filt_mat.fa:h2tg000006l_103456831_103769570_0	479219	312739	310658	0.645456	413.088
HG01099.verkko_filt_pat.fa:haplotype2-0000583_143544270_144046196_1	HG02572#1#JAHAOW010000072.1_9428131_9835964_0	501926	407833	407397	0.810963	308.164
HG02300.verkko_filt_pat.fa:haplotype2-0000620_143362344_143769323_1	chr1_chm13_103304997_103901127_0	406979	596130	406801	0.682199	435.324
HG03579#2#JAGYVT010000094.1_51581892_51895531_0	chr1_hg38_103456064_103863972_0	313639	407908	311626	0.76021	313.52
HG02717#1#JAHAOS010000015.1_16660311_17067250_0	HG02647.hifiasm_filt_pat.fa:h1tg000015l_103709681_104023301_0	406939	313620	312440	0.765561	309.32
HG02486#2#JAGYVL010000029.1_94163344_94570162_0	HG03098#1#JAHEPM010000059.1_16676208_17105596_0	406818	429388	378337	0.8263	282.014
HG03540#1#JAGYVY010000208.1_95187_596142_0	HG03710.hifiasm_filt_pat.fa:h1tg000035l_103311655_103704662_0	500955	393007	374648	0.721429	380.35
HG02071.verkko_filt_pat.fa:haplotype2-0000736_102745972_103248026_0	HG03927.verkko_filt_pat.fa:haplotype2-0000800_29002142_29504057_1	502054	501914	501479	0.99799	31.7805
HG01175#2#JAHALZ010000031.1_43072077_43478977_1	HG01071#1#JAHBCF010000053.1_26607100_27108065_1	406900	500965	404924	0.805112	313.077
HG02622#2#JAHAON010000012.1_51551779_52031001_0	HG02071.verkko_filt_mat.fa:haplotype1-0000041_103610513_104018399_0	479222	407886	404680	0.83884	278.833
HG04228.verkko_filt_mat.fa:haplotype1-0000023_103429213_103930285_0	HG01361#1#JAGYYX010000012.1_51565085_51878780_0	501072	313695	312506	0.622198	435.609
HG02717#2#JAHAOR010000006.1_19663827_20070693_1	HG01099.hifiasm_filt_pat.fa:h1tg000003l_56136922_56638856_1	406866	501934	404897	0.803522	314.652
HG02559#1#JAGYVK010000012.1_51505852_51913611_0	HG03453#1#JAGYVW010000157.1_2105722_2585000_1	407759	479278	404753	0.839242	278.444
HG005#2#JAHEPN010000023.1_51542210_51950070_0	chr1_hg19_103998686_104406594_0	407860	407908	407724	0.999216	17.8885
HG02622#1#JAHAOO010000002.1_16673678_17080663_0	HG03579#1#JAGYVU010000029.1_91404_499180_0	406985	407776	404480	0.985861	76.1643
HG03710.verkko_filt_pat.fa:haplotype2-0000488_101614437_102218208_0	HG01978#1#JAGYVS010000002.1_51519970_52021951_0	603771	501981	486396	0.785325	364.637
HG02300.verkko_filt_mat.fa:haplotype1-0000028_144052837_144460586_1	HG04228.verkko_filt_mat.fa:haplotype1-0000023_103429213_103930285_0	407749	501072	406534	0.809366	309.44
HG00438#1#JAHBCB010000015.1_33474867_33954171_0	HG02818#2#JAHEOR010000010.1_31775319_32183091_1	479304	407772	406611	0.846286	271.761
HG03492#2#JAHEPH010000288.1_2098270_2432686_1	HG02055#2#JAHEPJ010000017.1_24870122_25298560_1	334416	428438	333819	0.778069	308.571
HG01952#2#JAHAMD010000045.1_4381722_4883708_1	HG02293.verkko_filt_pat.fa:haplotype2-0000836_148310532_148812524_1	501986	501992	501912	0.999693	12.4097
HG00741#2#JAHALX010000013.1_51574319_51981226_0	HG02109#2#JAHEPF010000078.1_16678387_16991144_0	406907	312757	312557	0.767751	307.49
HG02818#1#JAHEOS010000101.1_89626_496613_0	NA20129#2#JAHEPD010000155.1_90039_569275_0	406987	479236	406218	0.846279	271.638
HG002.verkko_filt_pat.fa:haplotype2-0000649_147937390_148315979_1	HG02004.verkko_filt_pat.fa:haplotype2-0000813_139386576_140076845_1	378589	690269	371540	0.532813	570.77
HG00735#1#JAHBCH010000004.1_101548252_101956125_0	HG01243#1#JAHEOY010000013.1_90081_424495_0	407873	334414	332418	0.811035	278.3
HG02148#2#JAHAMF010000050.1_19456870_19863761_1	HG02300.verkko_filt_pat.fa:haplotype2-0000620_143362344_143769323_1	406891	406979	404784	0.989484	65.5896
HG02004.verkko_filt_pat.fa:haplotype2-0000813_139386576_140076845_1	HG02486#1#JAGYVM010000007.1_28868414_29370339_1	690269	501925	499374	0.720785	439.825
HG02293.verkko_filt_mat.fa:haplotype1-0000039_30204405_30517145_1	HG02630#1#JAHAOQ010000102.1_16672145_17079089_0	312740	406944	310676	0.759584	313.579
chr1_chm13_103304997_103901127_0	HG002.hifiasm_filt_mat.fa:h2tg000010l_40221609_40629467_1	596130	407858	407722	0.683792	434.217
HG00621#2#JAHBCC010000031.1_16669999_17077865_0	HG002#1#JAHKSE010000012.1_16776806_17183707_1	407866	406901	404704	0.986931	73.2052
HG03098#1#JAHEPM010000059.1_16676208_17105596_0	HG01258#1#JAGYYV010000004.1_56955948_57456952_1	429388	501004	387455	0.713628	394.312
HG00673#1#JAHBBZ010000075.1_16660170_16973851_0	HG02300.verkko_filt_mat.fa:haplotype1-0000028_144052837_144460586_1	313681	407749	313465	0.768362	307.409
HG02300.hifiasm_filt_mat.fa:h2tg000006l_23303533_23711281_1	HG02257#2#JAGYVH010000034.1_98190388_98857961_0	407748	667573	404829	0.603779	515.425
HG02809.verkko_filt_pat.fa:haplotype2-0001251_103421111_103827972_0	HG00621#1#JAHBCD010000034.1_2122997_2624098_1	406861	501101	404742	0.804304	313.812
HG04228.hifiasm_filt_pat.fa:h1tg000014l_141188035_141500777_1	HG02647.verkko_filt_mat.fa:haplotype1-0000002_103892584_104321036_0	312742	428452	312450	0.728757	341.019
HG03486#1#JAHEOQ010000123.1_16677696_17085575_0	HG02818#1#JAHEOS010000101.1_89626_496613_0	407879	406987	404472	0.98557	76.9545
HG01106#1#JAHAMC010000004.1_31121050_31623013_0	HG02630#2#JAHAOP010000089.1_16669255_17076135_0	501963	406880	404776	0.80302	315.105
HG02148#1#JAHAMG010000059.1_19799474_20206456_1	HG02572#2#JAHAOV010000024.1_4460979_4890404_1	406982	429425	376639	0.819194	288.321
HG02055#2#JAHEPJ010000017.1_24870122_25298560_1	HG04228.hifiasm_filt_pat.fa:h1tg000014l_141188035_141500777_1	428438	312742	312475	0.728881	340.925
HG03927.hifiasm_filt_mat.fa:h2tg000005l_102886351_103294201_0	HG002.verkko_filt_mat.fa:haplotype1-0000005_138228497_138636354_1	407850	407857	407478	0.99816	27.4044
HG03492#1#JAHEPI010000180.1_2103395_2543326_1	HG02145#2#JAHKSF010000206.1_1005292_1413195_1	439931	407903	407196	0.924106	182.872
HG03098#2#JAHEPL010000003.1_93803759_94117426_0	HG02148#1#JAHAMG010000059.1_19799474_20206456_1	313667	406982	312472	0.765531	309.362
HG02300.hifiasm_filt_pat.fa:h1tg000019l_103804174_104211156_0	HG02622#2#JAHAON010000012.1_51551779_52031001_0	406982	479222	404693	0.840465	277.161
HG01928#1#JAGYVQ010000195.1_211_358290_0	HG01099.hifiasm_filt_mat.fa:h2tg000003l_54930251_55338030_1	358079	407779	193613	0.338339	615.331
HG02257#2#JAGYVH010000034.1_98190388_98857961_0	HG02559#1#JAGYVK010000012.1_51505852_51913611_0	667573	407759	404871	0.60387	515.354
HG01361#1#JAGYYX010000012.1_51565085_51878780_0	NA18906#2#JAHEON010000009.1_93748295_94249275_0	313695	500980	310765	0.616707	439.483
HG02723#2#JAHEOT010000034.1_19776337_20321518_1	HG01099.verkko_filt_pat.fa:haplotype2-0000583_143544270_144046196_1	545181	501926	443735	0.735425	399.546
HG02004.hifiasm_filt_mat.fa:h2tg000002l_25152988_25559927_1	HG02148#2#JAHAMF010000050.1_19456870_19863761_1	406939	406891	404760	0.989464	65.6506
HG02647.verkko_filt_pat.fa:haplotype2-0000857_103738150_104051769_0	HG01358#2#JAGYZA010000086.1_556_316498_0	313619	315942	165113	0.355504	547.115
HG02080#1#JAHEOW010000048.1_16689583_17097287_0	HG02809.hifiasm_filt_pat.fa:h1tg000007l_103415673_103822536_0	407704	406863	404745	0.987612	71.2531
HG01928#1#JAGYVQ010000053.1_16676493_17083407_0	HG03486#2#JAHEOP010000248.1_2105565_2584784_1	406914	479219	404667	0.840489	277.126
HG00733#1#JAHEPQ010000019.1_46106835_46420495_0	HG00621#2#JAHBCC010000031.1_16669999_17077865_0	313660	407866	313593	0.768737	307.148
NA18906#2#JAHEON010000009.1_93748295_94249275_0	HG03516#1#JAGYYT010000012.1_24170958_24578778_1	500980	407820	404828	0.803275	314.871
HG01243#1#JAHEOY010000013.1_90081_424495_0	HG03710.verkko_filt_pat.fa:haplotype2-0000488_101614437_102218208_0	334414	603771	334245	0.553441	519.322
HG02293.hifiasm_filt_mat.fa:h2tg000006l_103456831_103769570_0	HG00673#2#JAHBBY010000109.1_16675383_17177395_0	312739	502012	312615	0.62257	435.34
HG002#1#JAHKSE010000012.1_16776806_17183707_1	HG00438#2#JAHBCA010000012.1_51513023_51826723_0	406901	313700	310700	0.757988	314.962
HG01123#2#JAGYYY010000006.1_51579630_51892388_0	HG03927.verkko_filt_mat.fa:haplotype1-0000009_134765170_135173010_1	312758	407840	310759	0.758247	314.77
HG01891#1#JAGYVO010000014.1_22855818_23168577_1	HG01361#2#JAGYYW010000015.1_51517456_51831163_0	312759	313707	310708	0.984007	71.0634
HG03516#2#JAGYYS010000004.1_24452130_24859892_1	HG02300.hifiasm_filt_mat.fa:h2tg000006l_23303533_23711281_1	407762	407748	407438	0.998446	25.1794
HG03540#2#JAGYVX010000148.1_1368955_1877115_0	HG02080#2#JAHEOV010000017.1_16662177_17164189_0	508160	502012	489245	0.939181	177.994
HG01978#1#JAGYVS010000002.1_51519970_52021951_0	HG04228.verkko_filt_pat.fa:haplotype2-0000600_103806749_104119491_0	501981	312742	310829	0.616854	439.392
HG03710.verkko_filt_mat.fa:haplotype1-0000029_102593394_102907063_0	HG02647.verkko_filt_pat.fa:haplotype2-0000857_103738150_104051769_0	313669	313619	311669	0.987485	62.849
HG03710.hifiasm_filt_mat.fa:h2tg000025l_86820256_87133924_0	HG01175#2#JAHALZ010000031.1_43072077_43478977_1	313668	406900	312469	0.76567	309.241
NA20129#2#JAHEPD010000155.1_90039_569275_0	HG03486#1#JAHEOQ010000123.1_16677696_17085575_0	479236	407879	404693	0.838878	278.799
HG02723#1#JAHEOU010000204.1_2102082_2414876_1	HG00735#2#JAHBCG010000068.1_4729205_5042887_0	312794	313682	310645	0.98358	72.0139
NA19240#1#JAHEOM010000047.1_30103390_30511199_1	HG01106#2#JAHAMB010000008.1_19904771_20405763_1	407809	500992	406475	0.809186	309.598
HG03516#1#JAGYYT010000012.1_24170958_24578778_1	HG00733#1#JAHEPQ010000019.1_46106835_46420495_0	407820	313660	313344	0.767744	307.883
HG03710.hifiasm_filt_pat.fa:h1tg000035l_103311655_103704662_0	HG03710.verkko_filt_mat.fa:haplotype1-0000029_102593394_102907063_0	393007	313669	210492	0.424222	534.502
HG002.hifiasm_filt_mat.fa:h2tg000010l_40221609_40629467_1	HG00735#1#JAHBCH010000004.1_101548252_101956125_0	407858	407873	407680	0.999091	19.2614
HG00438#2#JAHBCA010000012.1_51513023_51826723_0	HG02080#1#JAHEOW010000048.1_16689583_17097287_0	313700	407704	313398	0.768121	307.584
HG03453#1#JAGYVW010000157.1_2105722_2585000_1	HG03927.hifiasm_filt_mat.fa:h2tg000005l_102886351_103294201_0	479278	407850	404819	0.839335	278.37
